symbol_id,symbol,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,created_at,updated_at
5691,SONM,2023-01-20,0.5072,0.5099,0.5,0.5002,5.002,56854,0.0,1.0,2025-07-09 12:01:37.258156,2025-07-09 12:01:37.258156
9206,HEI-A,2020-05-12,73.05,73.86,72.4,73.37,72.7925,328547,0.0,1.0,2025-07-09 10:26:55.391118,2025-07-09 10:26:55.391118
5379,TBBK,2007-04-23,26.64,26.8,26.32,26.6,26.6,76100,0.0,1.0,2025-07-09 11:12:08.546304,2025-07-09 11:12:08.546304
7528,AQN,2013-08-23,6.3275,6.3628,6.3269,6.3628,3.4709,5400,0.0,1.0,2025-07-09 10:09:07.096899,2025-07-09 10:09:07.096899
4841,REZI,2020-04-16,5.0,5.13,4.8,4.82,4.82,1580442,0.0,1.0,2025-07-09 09:48:46.361510,2025-07-09 09:48:46.361510
3931,YRD,2021-08-20,3.78,3.8765,3.7,3.71,3.4674,41816,0.0,1.0,2025-07-09 08:39:57.655231,2025-07-09 08:39:57.655231
10223,FCCO,2017-09-18,20.35,21.0,20.25,20.85,17.129,1873,0.0,1.0,2025-07-09 11:08:10.482819,2025-07-09 11:08:10.482819
11478,FMBH,2003-08-18,42.25,42.25,42.25,42.25,17.8046,600,0.0,1.0,2025-07-09 11:21:58.081030,2025-07-09 11:21:58.081030
651,NVEC,2025-02-13,71.8,73.17,71.53,72.95,71.927,14222,0.0,1.0,2025-07-09 11:07:22.304178,2025-07-09 11:07:22.304178
1225,PHG,2017-09-26,40.9,40.91,40.54,40.7,35.3236,1733390,0.0,1.0,2025-07-09 08:51:55.358373,2025-07-09 08:51:55.358373
9231,HD,2017-09-08,159.09,160.69,157.52,159.66,132.3762,9984231,0.0,1.0,2025-07-09 09:11:55.274730,2025-07-09 09:11:55.274730
4487,SBH,2012-07-16,27.3,27.5499,27.12,27.17,27.17,501000,0.0,1.0,2025-07-09 09:34:07.340216,2025-07-09 09:34:07.340216
1943,KINS,2024-01-31,3.35,3.35,3.07,3.21,3.21,20322,0.0,1.0,2025-07-09 11:26:49.288743,2025-07-09 11:26:49.288743
9242,GSM,2012-06-29,13.33,13.62,13.24,13.43,11.6469,529900,0.0,1.0,2025-07-09 12:48:20.412606,2025-07-09 12:48:20.412606
